sense_uid	seq	trad	simp	pinyin
下午|下午|xia4 wu3~1	0	個	个	ge4
主任|主任|zhu3 ren4~1	0	個	个	ge4
主席|主席|zhu3 xi2~1	0	個	个	ge4
主席|主席|zhu3 xi2~1	1	位	位	wei4
事|事|shi4~1	0	件	件	jian4
事|事|shi4~1	1	樁	桩	zhuang1
事|事|shi4~1	2	回	回	hui2
事實|事实|shi4 shi2~1	0	個	个	ge4
事情|事情|shi4 qing5~1	0	件	件	jian4
事情|事情|shi4 qing5~1	1	樁	桩	zhuang1
事故|事故|shi4 gu4~1	0	樁	桩	zhuang1
事故|事故|shi4 gu4~1	1	起	起	qi3
事故|事故|shi4 gu4~1	2	次	次	ci4
事業|事业|shi4 ye4~1	0	個	个	ge4
井|井|jing3~1	0	口	口	kou3
交易|交易|jiao1 yi4~1	0	筆	笔	bi3
人員|人员|ren2 yuan2~1	0	個	个	ge4
代表|代表|dai4 biao3~1	0	位	位	wei4
代表|代表|dai4 biao3~1	1	個	个	ge4
代表|代表|dai4 biao3~1	2	名	名	ming2
任務|任务|ren4 wu5~1	0	項	项	xiang4
企業|企业|qi3 ye4~1	0	家	家	jia1
位置|位置|wei4 zhi5~1	0	個	个	ge4
作品|作品|zuo4 pin3~1	0	部	部	bu4
作品|作品|zuo4 pin3~1	1	篇	篇	pian1
作家|作家|zuo4 jia1~1	0	個	个	ge4
作家|作家|zuo4 jia1~1	1	位	位	wei4
保證|保证|bao3 zheng4~1	0	個	个	ge4
保護|保护|bao3 hu4~1	0	種	种	zhong3
信|信|xin4~1	0	封	封	feng1
兄弟|兄弟|xiong1 di4~1	0	個	个	ge4
先生|先生|xian1 sheng5~1	0	位	位	wei4
光|光|guang1~1	0	道	道	dao4
內容|内容|nei4 rong2~1	0	項	项	xiang4
公園|公园|gong1 yuan2~1	0	座	座	zuo4
公路|公路|gong1 lu4~1	0	條	条	tiao2
兵|兵|bing1~1	0	個	个	ge4
冰|冰|bing1~1	0	塊	块	kuai4
出口|出口|chu1 kou3~1	0	個	个	ge4
刀|刀|dao1~1	0	把	把	ba3
分析|分析|fen1 xi1~1	0	個	个	ge4
利益|利益|li4 yi4~1	0	個	个	ge4
劍|剑|jian4~1	0	口	口	kou3
劍|剑|jian4~1	1	把	把	ba3
勝利|胜利|sheng4 li4~1	0	個	个	ge4
包|包|bao1~2	0	個	个	ge4
包|包|bao1~2	1	隻	只	zhi1
區|区|qu1~1	0	個	个	ge4
區別|区别|qu1 bie2~1	0	個	个	ge4
協會|协会|xie2 hui4~1	0	個	个	ge4
協會|协会|xie2 hui4~1	1	家	家	jia1
協議|协议|xie2 yi4~1	0	項	项	xiang4
原則|原则|yuan2 ze2~1	0	個	个	ge4
原因|原因|yuan2 yin1~1	0	個	个	ge4
反應|反应|fan3 ying4~1	0	個	个	ge4
可能|可能|ke3 neng2~2	0	個	个	ge4
同志|同志|tong2 zhi4~1	0	位	位	wei4
命令|命令|ming4 ling4~1	0	道	道	dao4
命令|命令|ming4 ling4~1	1	個	个	ge4
咖啡|咖啡|ka1 fei1~1	0	杯	杯	bei1
唱片|唱片|chang4 pian4~1	0	張	张	zhang1
問題|问题|wen4 ti2~1	0	個	个	ge4
單|单|dan1~2	0	個	个	ge4
單位|单位|dan1 wei4~2	0	個	个	ge4
嘴|嘴|zui3~1	0	張	张	zhang1
嘴|嘴|zui3~1	1	個	个	ge4
器|器|qi4~1	0	臺	台	tai2
回憶|回忆|hui2 yi4~1	0	個	个	ge4
圖|图|tu2~1	0	張	张	zhang1
圖書館|图书馆|tu2 shu1 guan3~1	0	家	家	jia1
圖書館|图书馆|tu2 shu1 guan3~1	1	個	个	ge4
團體|团体|tuan2 ti3~1	0	個	个	ge4
土地|土地|tu3 di4~1	0	片	片	pian4
土地|土地|tu3 di4~1	1	塊	块	kuai4
地|地|di4~3	0	片	片	pian4
地位|地位|di4 wei4~1	0	個	个	ge4
地圖|地图|di4 tu2~1	0	張	张	zhang1
地圖|地图|di4 tu2~1	1	本	本	ben3
地址|地址|di4 zhi3~1	0	個	个	ge4
地方|地方|di4 fang5~1	0	處	处	chu4
地點|地点|di4 dian3~1	0	個	个	ge4
城|城|cheng2~1	0	座	座	zuo4
城|城|cheng2~1	1	道	道	dao4
城|城|cheng2~1	2	個	个	ge4
城市|城市|cheng2 shi4~1	0	座	座	zuo4
堂|堂|tang2~1	0	間	间	jian1
報告|报告|bao4 gao4~1	0	篇	篇	pian1
報告|报告|bao4 gao4~1	1	份	份	fen4
報告|报告|bao4 gao4~1	2	個	个	ge4
報告|报告|bao4 gao4~1	3	通	通	tong4
報紙|报纸|bao4 zhi3~1	0	份	份	fen4
報紙|报纸|bao4 zhi3~1	1	期	期	qi1
報紙|报纸|bao4 zhi3~1	2	張	张	zhang1
報道|报道|bao4 dao4~2	0	篇	篇	pian1
報道|报道|bao4 dao4~2	1	份	份	fen4
塔|塔|ta3~1	0	座	座	zuo4
士兵|士兵|shi4 bing1~1	0	個	个	ge4
夢|梦|meng4~1	0	場	场	chang2
大事|大事|da4 shi4~1	0	件	件	jian4
大事|大事|da4 shi4~1	1	樁	桩	zhuang1
大學|大学|da4 xue2~1	0	所	所	suo3
大會|大会|da4 hui4~1	0	個	个	ge4
大會|大会|da4 hui4~1	1	屆	届	jie4
大樓|大楼|da4 lou2~1	0	幢	幢	zhuang4
大樓|大楼|da4 lou2~1	1	座	座	zuo4
夫人|夫人|fu1 ren5~1	0	位	位	wei4
失敗|失败|shi1 bai4~1	0	次	次	ci4
妹妹|妹妹|mei4 mei5~1	0	個	个	ge4
婚姻|婚姻|hun1 yin1~1	0	樁	桩	zhuang1
婚姻|婚姻|hun1 yin1~1	1	次	次	ci4
字|字|zi4~1	0	個	个	ge4
字母|字母|zi4 mu3~1	0	個	个	ge4
學校|学校|xue2 xiao4~1	0	所	所	suo3
學院|学院|xue2 yuan4~1	0	所	所	suo3
官|官|guan1~1	0	個	个	ge4
宣傳|宣传|xuan1 chuan2~1	0	個	个	ge4
家庭|家庭|jia1 ting2~1	0	戶	户	hu4
實驗|实验|shi2 yan4~1	0	個	个	ge4
實驗|实验|shi2 yan4~1	1	次	次	ci4
實驗室|实验室|shi2 yan4 shi4~1	0	間	间	jian1
專業|专业|zhuan1 ye4~1	0	門	门	men2
專業|专业|zhuan1 ye4~1	1	個	个	ge4
對象|对象|dui4 xiang4~1	0	個	个	ge4
小時|小时|xiao3 shi2~1	0	個	个	ge4
小說|小说|xiao3 shuo1~1	0	本	本	ben3
小說|小说|xiao3 shuo1~1	1	部	部	bu4
山|山|shan1~1	0	座	座	zuo4
島|岛|dao3~1	0	個	个	ge4
島|岛|dao3~1	1	座	座	zuo4
工人|工人|gong1 ren2~1	0	個	个	ge4
工人|工人|gong1 ren2~1	1	名	名	ming2
工作|工作|gong1 zuo4~2	0	個	个	ge4
工作|工作|gong1 zuo4~2	1	份	份	fen4
工作|工作|gong1 zuo4~2	2	項	项	xiang4
工廠|工厂|gong1 chang3~1	0	家	家	jia1
工廠|工厂|gong1 chang3~1	1	座	座	zuo4
工程|工程|gong1 cheng2~1	0	個	个	ge4
工程|工程|gong1 cheng2~1	1	項	项	xiang4
帶|带|dai4~11	0	條	条	tiao2
年|年|nian2~2	0	個	个	ge4
年代|年代|nian2 dai4~2	0	個	个	ge4
年齡|年龄|nian2 ling2~1	0	把	把	ba3
年齡|年龄|nian2 ling2~1	1	個	个	ge4
店|店|dian4~2	0	家	家	jia1
廣告|广告|guang3 gao4~1	0	項	项	xiang4
廣播|广播|guang3 bo1~1	0	個	个	ge4
建築|建筑|jian4 zhu4~1	0	個	个	ge4
建議|建议|jian4 yi4~1	0	點	点	dian3
引擎|引擎|yin3 qing2~1	0	臺	台	tai2
弟弟|弟弟|di4 di5~1	0	個	个	ge4
弟弟|弟弟|di4 di5~1	1	位	位	wei4
形式|形式|xing2 shi4~1	0	個	个	ge4
形象|形象|xing2 xiang4~1	0	個	个	ge4
影響|影响|ying3 xiang3~1	0	股	股	gu3
念|念|nian4~5	0	頓	顿	dun4
思想|思想|si1 xiang3~1	0	個	个	ge4
情況|情况|qing2 kuang4~1	0	種	种	zhong3
情緒|情绪|qing2 xu4~1	0	種	种	zhong3
意外|意外|yi4 wai4~2	0	個	个	ge4
意思|意思|yi4 si5~1	0	個	个	ge4
意義|意义|yi4 yi4~2	0	個	个	ge4
意見|意见|yi4 jian4~1	0	點	点	dian3
意見|意见|yi4 jian4~1	1	條	条	tiao2
愛情|爱情|ai4 qing2~1	0	份	份	fen4
態度|态度|tai4 du5~2	0	個	个	ge4
成就|成就|cheng2 jiu4~1	0	個	个	ge4
成績|成绩|cheng2 ji4~1	0	項	项	xiang4
成績|成绩|cheng2 ji4~1	1	個	个	ge4
戰士|战士|zhan4 shi4~1	0	個	个	ge4
戰爭|战争|zhan4 zheng1~1	0	場	场	chang2
戰爭|战争|zhan4 zheng1~1	1	次	次	ci4
戰鬥|战斗|zhan4 dou4~1	0	場	场	chang2
戰鬥|战斗|zhan4 dou4~1	1	次	次	ci4
戲|戏|xi4~1	0	齣	出	chu1
戲|戏|xi4~1	1	場	场	chang3
戲|戏|xi4~1	2	臺	台	tai2
房|房|fang2~2	0	間	间	jian1
所|所|suo3~1	0	個	个	ge4
手機|手机|shou3 ji1~1	0	部	部	bu4
手機|手机|shou3 ji1~1	1	臺	台	tai2
手術|手术|shou3 shu4~1	0	個	个	ge4
打算|打算|da3 suan4~1	0	個	个	ge4
批評|批评|pi1 ping2~1	0	次	次	ci4
批評|批评|pi1 ping2~1	1	番	番	fan1
指揮|指挥|zhi3 hui1~2	0	個	个	ge4
措施|措施|cuo4 shi1~1	0	個	个	ge4
損失|损失|sun3 shi1~1	0	個	个	ge4
支持|支持|zhi1 chi2~1	0	個	个	ge4
收入|收入|shou1 ru4~1	0	筆	笔	bi3
收入|收入|shou1 ru4~1	1	個	个	ge4
政府|政府|zheng4 fu3~1	0	個	个	ge4
政策|政策|zheng4 ce4~1	0	個	个	ge4
教堂|教堂|jiao4 tang2~1	0	座	座	zuo4
教堂|教堂|jiao4 tang2~1	1	所	所	suo3
教堂|教堂|jiao4 tang2~1	2	間	间	jian1
教練|教练|jiao4 lian4~1	0	位	位	wei4
教練|教练|jiao4 lian4~1	1	名	名	ming2
敵人|敌人|di2 ren2~1	0	個	个	ge4
數字|数字|shu4 zi4~1	0	個	个	ge4
文件|文件|wen2 jian4~1	0	份	份	fen4
文化|文化|wen2 hua4~1	0	個	个	ge4
文化|文化|wen2 hua4~1	1	種	种	zhong3
文章|文章|wen2 zhang1~1	0	篇	篇	pian1
文章|文章|wen2 zhang1~1	1	段	段	duan4
文章|文章|wen2 zhang1~1	2	頁	页	ye4
新聞|新闻|xin1 wen2~1	0	條	条	tiao2
方式|方式|fang1 shi4~1	0	種	种	zhong3
方案|方案|fang1 an4~1	0	個	个	ge4
方案|方案|fang1 an4~1	1	套	套	tao4
方面|方面|fang1 mian4~1	0	個	个	ge4
旅行|旅行|lu:3 xing2~1	0	趟	趟	tang4
旅行|旅行|lu:3 xing2~1	1	次	次	ci4
早上|早上|zao3 shang5~1	0	個	个	ge4
時代|时代|shi2 dai4~1	0	個	个	ge4
時期|时期|shi2 qi1~1	0	個	个	ge4
晚上|晚上|wan3 shang5~1	0	個	个	ge4
曲|曲|qu3~1	0	支	支	zhi1
書|书|shu1~1	0	本	本	ben3
書|书|shu1~1	1	冊	册	ce4
書|书|shu1~1	2	部	部	bu4
會議|会议|hui4 yi4~1	0	場	场	chang3
會議|会议|hui4 yi4~1	1	屆	届	jie4
月|月|yue4~1	0	個	个	ge4
月|月|yue4~1	1	輪	轮	lun2
朋友|朋友|peng2 you5~1	0	個	个	ge4
朋友|朋友|peng2 you5~1	1	位	位	wei4
期間|期间|qi1 jian1~1	0	個	个	ge4
未來|未来|wei4 lai2~1	0	個	个	ge4
東西|东西|dong1 xi5~1	0	個	个	ge4
東西|东西|dong1 xi5~1	1	件	件	jian4
松|松|song1~1	0	棵	棵	ke1
板|板|ban3~1	0	塊	块	kuai4
校長|校长|xiao4 zhang3~1	0	個	个	ge4
校長|校长|xiao4 zhang3~1	1	位	位	wei4
校長|校长|xiao4 zhang3~1	2	名	名	ming2
根|根|gen1~1	0	條	条	tiao2
根據|根据|gen1 ju4~1	0	個	个	ge4
根本|根本|gen1 ben3~2	0	個	个	ge4
案件|案件|an4 jian4~1	0	宗	宗	zong1
案件|案件|an4 jian4~1	1	樁	桩	zhuang1
案件|案件|an4 jian4~1	2	起	起	qi3
條件|条件|tiao2 jian4~1	0	個	个	ge4
棒球|棒球|bang4 qiu2~1	0	個	个	ge4
棒球|棒球|bang4 qiu2~1	1	隻	只	zhi1
森林|森林|sen1 lin2~1	0	片	片	pian4
植物|植物|zhi2 wu4~1	0	種	种	zhong3
概念|概念|gai4 nian4~1	0	個	个	ge4
槍|枪|qiang1~1	0	支	支	zhi1
槍|枪|qiang1~1	1	把	把	ba3
槍|枪|qiang1~1	2	桿	杆	gan3
槍|枪|qiang1~1	3	條	条	tiao2
槍|枪|qiang1~1	4	枝	枝	zhi1
樂隊|乐队|yue4 dui4~1	0	支	支	zhi1
樓|楼|lou2~2	0	層	层	ceng2
樓|楼|lou2~2	1	座	座	zuo4
樓|楼|lou2~2	2	棟	栋	dong4
樹|树|shu4~1	0	棵	棵	ke1
橋|桥|qiao2~1	0	座	座	zuo4
機器|机器|ji1 qi4~1	0	臺	台	tai2
機器|机器|ji1 qi4~1	1	部	部	bu4
機器|机器|ji1 qi4~1	2	個	个	ge4
機場|机场|ji1 chang3~1	0	家	家	jia1
機場|机场|ji1 chang3~1	1	處	处	chu4
機會|机会|ji1 hui4~1	0	個	个	ge4
機構|机构|ji1 gou4~1	0	所	所	suo3
檢查|检查|jian3 cha2~1	0	次	次	ci4
款|款|kuan3~1	0	筆	笔	bi3
款|款|kuan3~1	1	個	个	ge4
歌|歌|ge1~1	0	首	首	shou3
歌|歌|ge1~1	1	支	支	zhi1
武器|武器|wu3 qi4~1	0	種	种	zhong3
歷史|历史|li4 shi3~1	0	門	门	men2
歷史|历史|li4 shi3~1	1	段	段	duan4
比賽|比赛|bi3 sai4~1	0	場	场	chang3
比賽|比赛|bi3 sai4~1	1	次	次	ci4
決定|决定|jue2 ding4~1	0	個	个	ge4
決定|决定|jue2 ding4~1	1	項	项	xiang4
汽車|汽车|qi4 che1~1	0	輛	辆	liang4
沙|沙|sha1~1	0	粒	粒	li4
河|河|he2~1	0	條	条	tiao2
河|河|he2~1	1	道	道	dao4
法律|法律|fa3 lu:4~1	0	條	条	tiao2
法律|法律|fa3 lu:4~1	1	套	套	tao4
法律|法律|fa3 lu:4~1	2	個	个	ge4
洞|洞|dong4~1	0	個	个	ge4
活動|活动|huo2 dong4~1	0	項	项	xiang4
消息|消息|xiao1 xi5~1	0	條	条	tiao2
港|港|gang3~1	0	個	个	ge4
演出|演出|yan3 chu1~1	0	場	场	chang3
演出|演出|yan3 chu1~1	1	次	次	ci4
炸彈|炸弹|zha4 dan4~1	0	枚	枚	mei2
炸彈|炸弹|zha4 dan4~1	1	顆	颗	ke1
照片|照片|zhao4 pian4~1	0	張	张	zhang1
照片|照片|zhao4 pian4~1	1	幅	幅	fu2
燈|灯|deng1~1	0	盞	盏	zhan3
父親|父亲|fu4 qin1~1	0	個	个	ge4
牆|墙|qiang2~1	0	面	面	mian4
牆|墙|qiang2~1	1	堵	堵	du3
牌|牌|pai2~1	0	塊	块	kuai4
牌|牌|pai2~2	0	張	张	zhang1
牛|牛|niu2~1	0	條	条	tiao2
牛|牛|niu2~1	1	頭	头	tou2
物質|物质|wu4 zhi4~1	0	個	个	ge4
狗|狗|gou3~1	0	隻	只	zhi1
狗|狗|gou3~1	1	條	条	tiao2
狼|狼|lang2~1	0	匹	匹	pi3
狼|狼|lang2~1	1	隻	只	zhi1
狼|狼|lang2~1	2	條	条	tiao2
玻璃|玻璃|bo1 li5~1	0	張	张	zhang1
玻璃|玻璃|bo1 li5~1	1	塊	块	kuai4
現象|现象|xian4 xiang4~1	0	個	个	ge4
現象|现象|xian4 xiang4~1	1	種	种	zhong3
球|球|qiu2~1	0	個	个	ge4
球|球|qiu2~2	0	場	场	chang3
理由|理由|li3 you2~1	0	個	个	ge4
理論|理论|li3 lun4~1	0	個	个	ge4
環境|环境|huan2 jing4~2	0	個	个	ge4
生命|生命|sheng1 ming4~2	0	條	条	tiao2
產品|产品|chan3 pin3~1	0	個	个	ge4
田|田|tian2~1	0	片	片	pian4
