sense_uid	seq	trad	simp	pinyin	target_entry_id	resolved	ex_trad	ex_simp	ex_realized	ex_spans	ex_shows	ex_shows_simp
三|三|san1~2	0	再三	再三	zai4 san1	再三|再三|zai4 san1	1	老師再三說明考試的規則。	老师再三说明考试的规则。	再三	[[2, 4]]		
三|三|san1~2	1	三番五次	三番五次	san1 fan1 wu3 ci4	三番五次|三番五次|san1 fan1 wu3 ci4	1	他三番五次來找我幫忙。	他三番五次来找我帮忙。	三番五次	[[1, 5]]		
上|上|shang4~3	0	上級	上级	shang4 ji2	上級|上级|shang4 ji2	1	這件事要先報告上級。	这件事要先报告上级。	上級	[[7, 9]]		
上|上|shang4~3	1	上層	上层	shang4 ceng2	上層|上层|shang4 ceng2	1	他住在大樓的上層。	他住在大楼的上层。	上層	[[6, 8]]		
上|上|shang4~3	2	上游	上游	shang4 you2	上游|上游|shang4 you2	1	這條河的上游水很清。	这条河的上游水很清。	上游	[[4, 6]]		
上|上|shang4~4	0	上次	上次	shang4 ci4	上次|上次|shang4 ci4	1	上次見面已經是去年了。	上次见面已经是去年了。	上次	[[0, 2]]		
上|上|shang4~4	1	上午	上午	shang4 wu3	上午|上午|shang4 wu3	1	明天上午我要去醫院。	明天上午我要去医院。	上午	[[2, 4]]		
上|上|shang4~4	2	上半場	上半场	shang4 ban4 chang3	上半場|上半场|shang4 ban4 chang3	1	我只看了上半場的比賽。	我只看了上半场的比赛。	上半場	[[4, 7]]		
世|世|shi4~1	0	世界	世界	shi4 jie4	世界|世界|shi4 jie4	1	他去過世界上很多地方。	他去过世界上很多地方。	世界	[[3, 5]]		
世|世|shi4~1	1	世上	世上	shi4 shang4	世上|世上|shi4 shang4	1	世上沒有完全一樣的兩片葉子。	世上没有完全一样的两片叶子。	世上	[[0, 2]]		
世|世|shi4~1	2	去世	去世	qu4 shi4	去世|去世|qu4 shi4	1	他父親去年去世了。	他父亲去年去世了。	去世	[[5, 7]]		
世|世|shi4~2	0	世紀	世纪	shi4 ji4	世紀|世纪|shi4 ji4	1	這種病在上個世紀很常見。	这种病在上个世纪很常见。	世紀	[[6, 8]]		
世|世|shi4~2	1	亂世	乱世	luan4 shi4	亂世|乱世|luan4 shi4	1	在亂世中，很多人失去了家。	在乱世中，很多人失去了家。	亂世	[[1, 3]]		
世|世|shi4~3	0	世代	世代	shi4 dai4	世代|世代|shi4 dai4	1	他們家世代都住在這個村子裡。	他们家世代都住在这个村子里。	世代	[[3, 5]]		
世|世|shi4~3	1	家世	家世	jia1 shi4	家世|家世|jia1 shi4	1	他從不跟人談自己的家世。	他从不跟人谈自己的家世。	家世	[[9, 11]]		
世|世|shi4~3	2	世交	世交	shi4 jiao1	世交|世交|shi4 jiao1	1	兩家是多年的世交。	两家是多年的世交。	世交	[[6, 8]]		
世|世|shi4~4	0	來世	来世	lai2 shi4	來世|来世|lai2 shi4	1	他相信人死後還有來世。	他相信人死后还有来世。	來世	[[8, 10]]		
世|世|shi4~4	1	身世	身世	shen1 shi4	身世|身世|shen1 shi4	1	沒有人知道那個孩子的身世。	没有人知道那个孩子的身世。	身世	[[10, 12]]		
丹|丹|dan1~1	0	丹心	丹心	dan1 xin1	丹心|丹心|dan1 xin1	1	老將軍的一片丹心從未改變。	老将军的一片丹心从未改变。	丹心	[[6, 8]]		
丹|丹|dan1~1	1	丹頂鶴	丹顶鹤	dan1 ding3 he4	丹頂鶴|丹顶鹤|dan1 ding3 he4	1	湖邊飛來了幾隻丹頂鶴。	湖边飞来了几只丹顶鹤。	丹頂鶴	[[7, 10]]		
丹|丹|dan1~2	0	仙丹	仙丹	xian1 dan1	仙丹|仙丹|xian1 dan1	1	傳說中的仙丹可以治好任何病。	传说中的仙丹可以治好任何病。	仙丹	[[4, 6]]		
丹|丹|dan1~2	1	煉丹	炼丹	lian4 dan1	煉丹|炼丹|lian4 dan1	1	古時候有人在山中煉丹。	古时候有人在山中炼丹。	煉丹	[[8, 10]]		
丹|丹|dan1~3	0	丹砂	丹砂	dan1 sha1	丹砂|丹砂|dan1 sha1	1	這種紅色的顏料是用丹砂做成的。	这种红色的颜料是用丹砂做成的。	丹砂	[[9, 11]]		
主|主|zhu3~1	0	主人	主人	zhu3 ren2	主人|主人|zhu3 ren2	1	這隻狗的主人對牠很好。	这只狗的主人对它很好。	主人	[[4, 6]]		
主|主|zhu3~1	1	車主	车主	che1 zhu3	車主|车主|che1 zhu3	1	車主把車停在了大樓門口。	车主把车停在了大楼门口。	車主	[[0, 2]]		
主|主|zhu3~1	2	房主	房主	fang2 zhu3	房主|房主|fang2 zhu3	1	房主答應下個月再收房租。	房主答应下个月再收房租。	房主	[[0, 2]]		
主|主|zhu3~3	0	東道主	东道主	dong1 dao4 zhu3	東道主|东道主|dong1 dao4 zhu3	1	今年的運動會我們是東道主。	今年的运动会我们是东道主。	東道主	[[9, 12]]		
主|主|zhu3~3	1	賓主	宾主	bin1 zhu3	賓主|宾主|bin1 zhu3	1	宴會上賓主談得十分開心。	宴会上宾主谈得十分开心。	賓主	[[3, 5]]		
主|主|zhu3~3	2	主隊	主队	zhu3 dui4	主隊|主队|zhu3 dui4	1	主隊贏了這場重要的比賽。	主队赢了这场重要的比赛。	主隊	[[0, 2]]		
主|主|zhu3~4	0	主辦	主办	zhu3 ban4	主辦|主办|zhu3 ban4	1	這次活動由學校主辦。	这次活动由学校主办。	主辦	[[7, 9]]		
主|主|zhu3~4	1	主持	主持	zhu3 chi2	主持|主持|zhu3 chi2	1	晚會請他來主持。	晚会请他来主持。	主持	[[5, 7]]		
主|主|zhu3~4	2	主管	主管	zhu3 guan3	主管|主管|zhu3 guan3	1	公司的日常工作交給他主管。	公司的日常工作交给他主管。	主管	[[10, 12]]		
主|主|zhu3~5	0	買主	买主	mai3 zhu3	買主|买主|mai3 zhu3	1	買主看過房子以後很滿意。	买主看过房子以后很满意。	買主	[[0, 2]]		
