entry_id	idx	text
一些|一些|yi1 xie1	0	some; a few; a little; (following an adjective) slightly ...er
一個|一个|yi1 ge5	0	a; an; one
一個|一个|yi1 ge5	1	the whole (afternoon, summer vacation etc)
一切|一切|yi1 qie4	0	everything
一切|一切|yi1 qie4	1	every
一切|一切|yi1 qie4	2	all
一半|一半|yi1 ban4	0	half
一定|一定|yi1 ding4	0	surely; certainly; definitely
一定|一定|yi1 ding4	1	fixed; settled
一定|一定|yi1 ding4	2	a certain ...; a given ...
一家|一家|yi1 jia1	0	the whole family
一家|一家|yi1 jia1	1	the same family
一家|一家|yi1 jia1	2	the family ... (when preceded by a family name)
一家|一家|yi1 jia1	3	group
一旦|一旦|yi1 dan4	0	in case (sth happens)
一旦|一旦|yi1 dan4	1	if
一旦|一旦|yi1 dan4	2	once (sth happens, then...)
一旦|一旦|yi1 dan4	3	when
一旦|一旦|yi1 dan4	4	in a short time
一旦|一旦|yi1 dan4	5	in one day
一樣|一样|yi1 yang4	0	same
一樣|一样|yi1 yang4	1	like
一樣|一样|yi1 yang4	2	equal to
一樣|一样|yi1 yang4	3	the same as
一樣|一样|yi1 yang4	4	just like
一生|一生|yi1 sheng1	0	all one's life; throughout one's life
一直|一直|yi1 zhi2	0	straight (in a straight line)
一直|一直|yi1 zhi2	1	continuously; always; all the way through
一致|一致|yi1 zhi4	0	consistent; unanimous; in agreement
一致|一致|yi1 zhi4	1	together; in unison
一般|一般|yi1 ban1	0	same
一般|一般|yi1 ban1	1	ordinary
一般|一般|yi1 ban1	2	so-so
一般|一般|yi1 ban1	3	common
一般|一般|yi1 ban1	4	general
一般|一般|yi1 ban1	5	generally
一般|一般|yi1 ban1	6	in general
一起|一起|yi1 qi3	0	(in) the same place
一起|一起|yi1 qi3	1	together; in company (with)
一起|一起|yi1 qi3	2	altogether; in total
一起|一起|yi1 qi3	3	an instance of; a case of (murder, accident, dispute etc)
一點|一点|yi1 dian3	0	a bit; a little bit
一點|一点|yi1 dian3	1	(used in negative expressions) (not) the least bit
一點|一点|yi1 dian3	2	(after an adjective, used to form the comparative) a bit more, -er
一點|一点|yi1 dian3	3	a point (in a discussion etc)
一點|一点|yi1 dian3	4	(calligraphy) dot stroke (、)
