entry_id	seq	kind	pinyin	applies_to
上面|上面|shang4 mian4	0	also	shang4 mian5	上面|上面|shang4 mian4
下面|下面|xia4 mian4	0	also	xia4 mian5	下面|下面|xia4 mian4
亞|亚|ya4	0	taiwan	ya3	亞|亚|ya4
供|供|gong4	0	taiwan	gong1	供|供|gong4~3
勝|胜|sheng4	0	taiwan	sheng1	勝|胜|sheng4~3
南|南|na1	0	taiwan	na2	南|南|na1
卡|卡|qia3	0	taiwan	ka3	卡|卡|qia3
多|多|duo1	0	taiwan	duo2	多|多|duo1~3
大部分|大部分|da4 bu4 fen5	0	taiwan	da4 bu4 fen4	大部分|大部分|da4 bu4 fen5
妮|妮|ni1	0	taiwan	ni2	妮|妮|ni1
差|差|cha4	0	taiwan	cha1	差|差|cha4
度|度|duo2	0	taiwan	duo4	度|度|duo2
成熟|成熟|cheng2 shu2	0	taiwan	cheng2 shou2	成熟|成熟|cheng2 shu2
播|播|bo1	0	taiwan	bo4	播|播|bo1
擊|击|ji1	0	taiwan	ji2	擊|击|ji1
期|期|qi1	0	taiwan	qi2	期|期|qi1
比|比|bi3	0	taiwan	bi4	比|比|bi3
混|混|hun2	0	taiwan	hun4	混|混|hun2
父親|父亲|fu4 qin1	0	also	fu4 qin5	父親|父亲|fu4 qin1
玩|玩|wan2	0	taiwan	wan4	玩|玩|wan2~5
的|的|de5	0	also	di4	的|的|de5
知道|知道|zhi1 dao4	0	also	zhi1 dao5	知道|知道|zhi1 dao4
稱|称|chen4	0	taiwan	cheng4	稱|称|chen4
結|结|jie1	0	taiwan	jie2	結|结|jie1
聽|听|ting1	0	taiwan	ting4	聽|听|ting1~4
聽|听|ting1	1	taiwan	ting4	聽|听|ting1~5
艘|艘|sou1	0	taiwan	sao1	艘|艘|sou1
著|着|zhao1	0	taiwan	zhuo2	著|着|zhao1~1
裡面|里面|li3 mian4	0	also	li3 mian5	裡面|里面|li3 mian4
角色|角色|jue2 se4	0	also	jiao3 se4	角色|角色|jue2 se4
誰|谁|shei2	0	also	shui2	誰|谁|shei2
起來|起来|qi3 lai5	0	also	qi3 lai2	起來|起来|qi3 lai5
起來|起来|qi5 lai5	0	also	qi3 lai5	起來|起来|qi5 lai5
較|较|jiao4	0	also	jiao3	較|较|jiao4
載|载|zai3	0	taiwan	zai4	載|载|zai3
逮捕|逮捕|dai4 bu3	0	taiwan	dai3 bu3	逮捕|逮捕|dai4 bu3
那個|那个|na4 ge5	0	also	nei4 ge5	那個|那个|na4 ge5
部分|部分|bu4 fen5	0	taiwan	bu4 fen4	部分|部分|bu4 fen5
長|长|chang2	0	taiwan	zhang4	長|长|chang2~4
阿|阿|a1	0	also	a4	阿|阿|a1
