entry_id	toned	plain	kind
一些|一些|yi1 xie1	yi1xie1	yixie	canonical
一個|一个|yi1 ge5	yi1ge5	yige	canonical
一切|一切|yi1 qie4	yi1qie4	yiqie	canonical
一半|一半|yi1 ban4	yi1ban4	yiban	canonical
一定|一定|yi1 ding4	yi1ding4	yiding	canonical
一家|一家|yi1 jia1	yi1jia1	yijia	canonical
一旦|一旦|yi1 dan4	yi1dan4	yidan	canonical
一樣|一样|yi1 yang4	yi1yang4	yiyang	canonical
一生|一生|yi1 sheng1	yi1sheng1	yisheng	canonical
一直|一直|yi1 zhi2	yi1zhi2	yizhi	canonical
一致|一致|yi1 zhi4	yi1zhi4	yizhi	canonical
一般|一般|yi1 ban1	yi1ban1	yiban	canonical
一起|一起|yi1 qi3	yi1qi3	yiqi	canonical
一點|一点|yi1 dian3	yi1dian3	yidian	canonical
七|七|qi1	qi1	qi	canonical
丈夫|丈夫|zhang4 fu5	zhang4fu5	zhangfu	canonical
三|三|san1	san1	san	canonical
三十|三十|san1 shi2	san1shi2	sanshi	canonical
上|上|shang4	shang4	shang	canonical
上面|上面|shang4 mian4	shang4mian4	shangmian	canonical
上面|上面|shang4 mian4	shang4mian5	shangmian	variant
下|下|xia4	xia4	xia	canonical
下來|下来|xia4 lai5	xia4lai5	xialai	canonical
下午|下午|xia4 wu3	xia4wu3	xiawu	canonical
下降|下降|xia4 jiang4	xia4jiang4	xiajiang	canonical
下面|下面|xia4 mian4	xia4mian4	xiamian	canonical
下面|下面|xia4 mian4	xia4mian5	xiamian	variant
不久|不久|bu4 jiu3	bu4jiu3	bujiu	canonical
不僅|不仅|bu4 jin3	bu4jin3	bujin	canonical
不再|不再|bu4 zai4	bu4zai4	buzai	canonical
不到|不到|bu4 dao4	bu4dao4	budao	canonical
不可|不可|bu4 ke3	bu4ke3	buke	canonical
不同|不同|bu4 tong2	bu4tong2	butong	canonical
不少|不少|bu4 shao3	bu4shao3	bushao	canonical
不得不|不得不|bu4 de2 bu4	bu4de2bu4	budebu	canonical
不斷|不断|bu4 duan4	bu4duan4	buduan	canonical
不是|不是|bu4 shi4	bu4shi4	bushi	canonical
不是|不是|bu4 shi5	bu4shi5	bushi	canonical
不會|不会|bu4 hui4	bu4hui4	buhui	canonical
不用|不用|bu4 yong4	bu4yong4	buyong	canonical
不知|不知|bu4 zhi1	bu4zhi1	buzhi	canonical
不能|不能|bu4 neng2	bu4neng2	buneng	canonical
不要|不要|bu4 yao4	bu4yao4	buyao	canonical
不過|不过|bu4 guo4	bu4guo4	buguo	canonical
且|且|qie3	qie3	qie	canonical
世|世|shi4	shi4	shi	canonical
世紀|世纪|shi4 ji4	shi4ji4	shiji	canonical
並且|并且|bing4 qie3	bing4qie3	bingqie	canonical
並非|并非|bing4 fei1	bing4fei1	bingfei	canonical
中|中|zhong4	zhong4	zhong	canonical
中央|中央|zhong1 yang1	zhong1yang1	zhongyang	canonical
中學|中学|zhong1 xue2	zhong1xue2	zhongxue	canonical
中心|中心|zhong1 xin1	zhong1xin1	zhongxin	canonical
中間|中间|zhong1 jian1	zhong1jian1	zhongjian	canonical
丹|丹|dan1	dan1	dan	canonical
主|主|zhu3	zhu3	zhu	canonical
主任|主任|zhu3 ren4	zhu3ren4	zhuren	canonical
主席|主席|zhu3 xi2	zhu3xi2	zhuxi	canonical
主持|主持|zhu3 chi2	zhu3chi2	zhuchi	canonical
主義|主义|zhu3 yi4	zhu3yi4	zhuyi	canonical
主要|主要|zhu3 yao4	zhu3yao4	zhuyao	canonical
主角|主角|zhu3 jue2	zhu3jue2	zhujue	canonical
