sense_uid	seq	target_entry_id	target_trad	target_simp	target_pinyin
一個|一个|yi1 ge5~1	0	個|个|ge4	個	个	ge4
一旦|一旦|yi1 dan4~1	0	如果|如果|ru2 guo3	如果	如果	ru2 guo3
一生|一生|yi1 sheng1~1	0	一輩子|一辈子|yi1 bei4 zi5	一輩子	一辈子	yi1 bei4 zi5
一直|一直|yi1 zhi2~1	0	總是|总是|zong3 shi4	總是	总是	zong3 shi4
丈夫|丈夫|zhang4 fu5~1	0	妻子|妻子|qi1 zi5	妻子	妻子	qi1 zi5
上|上|shang4~5	0	下|下|xia4	下	下	xia4
上|上|shang4~6	0	裡|里|li3	裡	里	li3
下|下|xia4~1	0	上|上|shang4	上	上	shang4
下|下|xia4~7	0	一下|一下|yi1 xia4	一下	一下	yi1 xia4
不僅|不仅|bu4 jin3~1	0	不但|不但|bu4 dan4	不但	不但	bu4 dan4
不同|不同|bu4 tong2~1	0	不一樣|不一样|bu4 yi1 yang4	不一樣	不一样	bu4 yi1 yang4
不用|不用|bu4 yong4~1	0	不要|不要|bu4 yao4	不要	不要	bu4 yao4
不要|不要|bu4 yao4~1	0	別|别|bie2	別	别	bie2
不過|不过|bu4 guo4~1	0	但是|但是|dan4 shi4	但是	但是	dan4 shi4
且|且|qie3~1	0	而且|而且|er2 qie3	而且	而且	er2 qie3
且|且|qie3~1	1	並且|并且|bing4 qie3	並且	并且	bing4 qie3
且|且|qie3~2	0	暫且|暂且|zan4 qie3	暫且	暂且	zan4 qie3
且|且|qie3~3	0	一邊|一边|yi1 bian1	一邊	一边	yi1 bian1
且|且|qie3~4	0	將要|将要|jiang1 yao4	將要	将要	jiang1 yao4
並且|并且|bing4 qie3~1	0	而且|而且|er2 qie3	而且	而且	er2 qie3
中央|中央|zhong1 yang1~2	0	地方|地方|di4 fang1	地方	地方	di4 fang1
主|主|zhu3~6	0	上帝|上帝|Shang4 di4	上帝	上帝	Shang4 di4
主角|主角|zhu3 jue2~1	0	配角|配角|pei4 jue2	配角	配角	pei4 jue2
久|久|jiu3~1	0	長|长|chang2	長	长	chang2
之中|之中|zhi1 zhong1~1	0	裡面|里面|li3 mian4	裡面	里面	li3 mian4
之前|之前|zhi1 qian2~1	0	之後|之后|zhi1 hou4	之後	之后	zhi1 hou4
之後|之后|zhi1 hou4~1	0	以後|以后|yi3 hou4	以後	以后	yi3 hou4
之間|之间|zhi1 jian1~1	0	中間|中间|zhong1 jian1	中間	中间	zhong1 jian1
也|也|ye3~2	0	連|连|lian2	連	连	lian2
也|也|ye3~2	1	都|都|dou1	都	都	dou1
也|也|ye3~3	0	啊|啊|a5	啊	啊	a5
乾|乾|qian2~1	0	八卦|八卦|ba1 gua4	八卦	八卦	ba1 gua4
了|了|le5~1	0	過|过|guo5	過	过	guo5
事件|事件|shi4 jian4~1	0	事情|事情|shi4 qing5	事情	事情	shi4 qing5
事實|事实|shi4 shi2~1	0	真相|真相|zhen1 xiang4	真相	真相	zhen1 xiang4
事實上|事实上|shi4 shi2 shang4~1	0	其實|其实|qi2 shi2	其實	其实	qi2 shi2
二|二|er4~1	0	兩|两|liang3	兩	两	liang3
交易|交易|jiao1 yi4~1	0	買賣|买卖|mai3 mai4	買賣	买卖	mai3 mai4
人數|人数|ren2 shu4~1	0	人口|人口|ren2 kou3	人口	人口	ren2 kou3
